,Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Duration (ms),Chord
186,187,40,65,2020-07-03--2020-07-10,Dior,"5,092,354",Pop Smoke,6837946,79s5XnCN4TJKTVMSmOx8Ep,['brooklyn drill'],2019-07-26,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-06-18--2021-06-25
2021-05-28--2021-06-04
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28",83.0,216387,G
187,188,45,29,2021-04-16--2021-04-23,Best Friend (feat. Doja Cat),"5,090,062",Saweetie,1254432,2etHQJxIbV0soyPhelVs9Y,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",2021-01-07,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",83.0,155884,E
188,189,52,22,2021-02-05--2021-02-12,The Hills,"5,068,864",The Weeknd,35305637,7fBv7CLKzipRk6EC6TWHOB,"['canadian contemporary r&b', 'canadian pop', 'pop']",2015-08-28,"2021-07-23--2021-07-30
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05",84.0,242253,C
189,190,5,31,2021-01-22--2021-01-29,Good Days,"5,065,132",SZA,5881963,3YJJjQPAbDT7mGpX3WtQ9A,"['pop', 'pop rap', 'r&b']",2020-12-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01",84.0,279204,C#/Db
190,191,191,1,2021-07-23--2021-07-30,Kiss My (Uh Oh),"5,063,181","Anne-Marie, Little Mix",8148393,0MWiSBKm8Avs8iDIxcertp,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",2021-07-23,2021-07-23--2021-07-30,78.0,176800,F
191,192,64,3,2021-07-09--2021-07-16,De Museo,"5,016,125",Bad Bunny,36142273,267NGliXM8YLVZiKAD9Otm,"['latin', 'reggaeton', 'trap latino']",2021-07-06,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",83.0,209771,E
192,193,41,81,2019-12-27--2020-01-03,7 rings,"5,002,227",Ariana Grande,67158068,6ocbgoVGwYJhOv1GgI9NsF,"['dance pop', 'pop', 'post-teen pop']",2019-02-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",85.0,178627,C#/Db
193,194,194,1,2021-07-23--2021-07-30,Chosen (feat. Ty Dolla $ign),"4,992,405","Blxst, Tyga",167628,1dIWPXMX4kRHj6Dt2DStUQ,[],2020-12-04,2021-07-23--2021-07-30,84.0,161684,D
194,195,149,5,2021-07-09--2021-07-16,Não Nasceu pra Namorar,"4,978,559","MC Zaquin, MC Rick",130627,6pQKUKBpwr6GhfhcFFFozo,"['funk bh', 'funk carioca']",2021-02-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",84.0,140308,C#/Db
195,196,8,71,2020-08-14--2020-08-21,Breaking Me,"4,977,498","Topic, A7S",151832,3H7ihDc1dqLriiWXwsc2po,"['dance pop', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']",2019-12-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27",84.0,166794,G#/Ab
196,197,197,1,2021-07-23--2021-07-30,penhasco.,"4,973,937",Luísa Sonza,1909059,5VTqW8raQYnj2avZ27nO2a,"['funk carioca', 'pop nacional']",2021-07-18,2021-07-23--2021-07-30,80.0,186121,G#/Ab
197,198,58,8,2021-06-04--2021-06-11,Late At Night,"4,954,899",Roddy Ricch,6603627,1fxYz1s15pyZLsJT0Hdh1m,"['melodic rap', 'rap', 'trap']",2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",84.0,174682,C#/Db
198,199,199,1,2021-07-23--2021-07-30,Verdansk,"4,950,275",Dave,1427540,7IPKXYU2rTMnrLW5IZ7ZI5,['uk hip hop'],2021-07-22,2021-07-23--2021-07-30,77.0,182285,D
199,200,172,12,2021-05-28--2021-06-04,The Real Slim Shady,"4,948,965",Eminem,46785561,3yfqSUWxFvZELEM4PmlwIR,"['detroit hip hop', 'hip hop', 'rap']",2000-05-23,"2021-07-23--2021-07-30
2021-07-02--2021-07-09
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23",84.0,284200,F
200,201,66,1,2021-07-16--2021-07-23,Tell The Vision (feat. Kanye West & Pusha T),"8,859,168",Pop Smoke,6837946,1Eu51GaXEehPMrDMh5QghA,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,57.0,215000,G
201,202,87,1,2021-07-16--2021-07-23,Woo Baby (feat. Chris Brown),"7,371,935",Pop Smoke,6837946,6bsqes8Zg9gUULzuCkMUs0,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,56.0,156000,A
202,203,116,1,2021-07-16--2021-07-23,Holy Smokes,"6,464,206","Trippie Redd, Lil Uzi Vert",6430522,3EpF150nXMSNjiH0bbmXIL,"['melodic rap', 'rap', 'trap']",2021-07-16,2021-07-16--2021-07-23,79.0,181714,F#/Gb
203,204,127,1,2021-07-16--2021-07-23,More Time,"6,238,351",Pop Smoke,6837946,7wAnRqccDr2tzcSKLR4jKl,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,55.0,120828,D
204,205,129,1,2021-07-16--2021-07-23,Coupe,"6,161,664",Pop Smoke,6837946,7LB3ilSpX1mSMKKztNTnu2,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,54.0,123549,G#/Ab
205,206,76,4,2021-06-18--2021-06-25,Holiday,"5,883,145",KSI,2008516,6nV2dFZXpv1JlqDWBeTXRl,['uk hip hop'],2021-06-18,"2021-07-16--2021-07-23
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25",81.0,193733,G#/Ab
206,207,150,1,2021-07-16--2021-07-23,Manslaughter (feat. Rick Ross & The-Dream),"5,822,266",Pop Smoke,6837946,4byRwLo7EmkCNBU6S8G6u0,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,55.0,249231,C#/Db
207,208,159,1,2021-07-16--2021-07-23,Genius (feat. Lil Tjay & Swae Lee),"5,702,636",Pop Smoke,6837946,2mmRtchzDVpCj9LSyexgjS,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,53.0,208112,D
208,209,22,4,2021-06-25--2021-07-02,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"5,696,113","Tyler, The Creator",6777818,5B0kgjHULYJhAQkK5XsMoC,"['hip hop', 'rap']",2021-06-25,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",84.0,121573,C
209,210,105,4,2021-06-25--2021-07-02,Sommergewitter,"5,627,519",Pashanim,208554,2H7jZg2HliuQhZjfBblLrZ,"['german alternative rap', 'german drill', 'german hip hop', 'german trap']",2021-06-24,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",84.0,138533,B
210,211,17,12,2021-05-07--2021-05-14,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","5,383,125","Tion Wayne, Russ Millions",323203,6uvMKqNlrSvcC4NaKnrwjZ,['london rap'],2021-04-22,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07",84.0,278085,B
211,212,180,1,2021-07-16--2021-07-23,Brush Em (feat. Rah Swish),"5,335,271",Pop Smoke,6837946,58aW6yZGFl7rVM7SLfLnLL,['brooklyn drill'],2021-07-31,2021-07-16--2021-07-23,54.0,150449,D#/Eb
212,213,13,15,2021-05-07--2021-05-14,AM,"5,288,927","Nio Garcia, Flow La Movie",2123734,2dNhNlpZAtV4lwAFW45LIv,"['latin', 'reggaeton', 'trap latino']",2021-01-28,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",85.0,182496,F#/Gb
213,214,175,4,2021-07-02--2021-07-09,MI FAI IMPAZZIRE,"5,242,097","BLANCO, Sfera Ebbasta",127364,1x3Qb8np6S1UvpSLthwEJN,"['italian hip hop', 'italian pop']",2021-06-17,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-18--2021-06-25",83.0,220235,B
214,215,20,82,2020-01-03--2020-01-10,Ride It,"5,235,088",Regard,152226,2tnVG71enUj33Ic2nFN6kZ,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",2019-07-26,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",84.0,157606,G
215,216,15,7,2021-06-04--2021-06-11,Lost Cause,"5,203,319",Billie Eilish,1250353,36fhyo5QlxBW7DrDHIOn1G,[],2021-08-12,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",0.0,212496,A#/Bb
216,217,193,1,2021-07-16--2021-07-23,Shot in the Dark,"5,173,308",John Mayer,5178156,239yM7BAQ2CkNc61ogPGXo,"['neo mellow', 'pop rock', 'singer-songwriter']",2021-07-16,2021-07-16--2021-07-23,76.0,249080,D
217,218,71,3,2021-07-02--2021-07-09,Wrecked,"5,150,909",Imagine Dragons,35285425,2d1MywHy6FwKdzxFuSJnwl,"['modern rock', 'pop', 'rock']",2021-07-02,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09",83.0,244005,C
218,219,79,11,2021-05-28--2021-06-04,Bipolar,"5,116,589","Mc Davi, Mc Pedrinho, Mc Don Juan",2586114,0qxLQ6opocOGyFnlXqJ53x,"['funk carioca', 'funk ostentacao', 'funk paulista']",2021-04-09,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14",84.0,276480,A
219,220,122,5,2021-05-14--2021-05-21,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","5,110,475",Internet Money,411579,2IePEfMAtqWS6rLXXFZIgI,"['pop rap', 'rap', 'trap']",2021-05-13,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-05-14--2021-05-21",84.0,224042,G
220,221,75,19,2021-03-12--2021-03-19,Follow You,"5,097,187",Imagine Dragons,35285425,7FdUvDkaE24o3FPIWTvzv2,"['modern rock', 'pop', 'rock']",2021-03-12,"2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19",84.0,175644,A
221,222,22,22,2021-02-12--2021-02-19,We're Good,"6,318,660",Dua Lipa,27142474,1diS6nkxMQc3wwC4G1j0bh,"['dance pop', 'pop', 'uk pop']",2021-02-11,"2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19",83.0,165507,F#/Gb
222,223,4,29,2020-11-20--2020-11-27,Life Goes On,"6,142,975",BTS,37106176,249gnXrbfmV8NG6jTEMSwD,"['k-pop', 'k-pop boy group']",2020-11-20,"2021-07-09--2021-07-16
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27",84.0,207481,C#/Db
223,224,28,23,2021-04-16--2021-04-23,911,"6,111,108",Sech,8758283,27RSJHEA99Y0Vsow7nA37A,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",2021-07-09,"2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2020-05-29--2020-06-05",89.0,208631,G
224,225,17,24,2021-02-05--2021-02-12,Baila Conmigo (with Rauw Alejandro),"5,588,217",Selena Gomez,28909504,079Ey5uxL04AKPQgVQwx5h,"['dance pop', 'pop', 'post-teen pop']",2021-03-12,"2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05",84.0,186088,F
225,226,164,1,2021-07-09--2021-07-16,The Jackie (with J. Cole & Lil Tjay),"5,454,994",Bas,386757,15qKrPi4Kg0z7g9HlwWyeb,"['hip hop', 'pop rap', 'queens hip hop', 'rap', 'sudanese pop', 'underground hip hop']",2021-07-09,2021-07-09--2021-07-16,76.0,204434,G#/Ab
226,227,22,8,2021-05-21--2021-05-28,hope ur ok,"5,435,614",Olivia Rodrigo,6266514,1zejeOnykpCoyVSit6Bwp3,['pop'],2021-05-21,"2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",84.0,209560,C
227,228,169,2,2021-07-02--2021-07-09,Faz Amor Comigo Só Hoje - Ao Vivo,"5,269,757","Israel & Rodolffo, Wesley Safadão",1097789,7Kba4OaxQFQ1zlknQUpNqN,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",2021-05-26,"2021-07-09--2021-07-16
2021-07-02--2021-07-09",82.0,148228,C#/Db
228,229,80,5,2021-06-11--2021-06-18,Alcohol-Free,"5,259,503",TWICE,9987114,0BTaaKT4RMbs5M73tOHX5Y,"['k-pop', 'k-pop girl group']",2021-06-11,"2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18",82.0,210573,G#/Ab
229,230,184,1,2021-07-09--2021-07-16,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,"5,186,354",BIA,151870,67G6iaOw8DZqp1z8STR89R,"['escape room', 'r&b', 'rap latina', 'trap queen']",2021-07-09,2021-07-09--2021-07-16,80.0,229601,C#/Db
230,231,187,1,2021-07-09--2021-07-16,Memory,"5,173,178","Kane Brown, blackbear",3507622,34chhNX59Wo9HMFCsI3K8Y,"['contemporary country', 'country road']",2021-07-09,2021-07-09--2021-07-16,80.0,153338,A
