,Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Duration (ms),Chord
46,47,1,51,2020-10-16--2020-10-23,Mood (feat. iann dior),"10,222,056",24kGoldn,1274433,4jPy3l0RUwlUI9T5XHBW2m,['cali rap'],2021-03-26,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14",89.0,140533,G
47,48,48,3,2021-07-23--2021-07-30,Entre Nosotros,"10,215,216","Tiago PZK, LIT killah",375865,6w8yBI2vthyN9UnwO4UBWb,['trap argentino'],2021-07-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",89.0,192353,F
48,49,29,6,2021-06-25--2021-07-02,Fiel - Remix,"10,032,746","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,43qcs9NpJhDxtG91zxFkj7,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2021-06-15,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25",89.0,349547,F#/Gb
49,50,20,11,2021-06-04--2021-06-11,Build a Bitch,"9,841,998",Bella Poarch,389076,7BoobGhD4x5K96Me0hqC8Q,[],2021-05-14,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",89.0,122773,D#/Eb
50,51,19,4,2021-07-02--2021-07-09,"Nicky Jam: Bzrp Music Sessions, Vol. 41","9,799,701","Bizarrap, Nicky Jam",3126961,03LfOYi0icz4souspZVVhq,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",2021-06-30,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09",88.0,158087,C#/Db
51,52,52,4,2021-07-23--2021-07-30,Tiroteo - Remix,"9,781,153","Marc Seguí, Rauw Alejandro, Pol Granch",45362,4OwhwvKESFtuu06dTgct7i,[],2021-04-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09",88.0,321556,A
52,53,19,3,2021-07-09--2021-07-16,NDA,"9,635,619",Billie Eilish,47014200,38GBNKZUhfBkk3oNlWzRYd,"['electropop', 'pop']",2021-07-30,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",84.0,195777,G#/Ab
53,54,40,14,2021-06-18--2021-06-25,Rasputin,"9,600,707","Majestic, Boney M.",32178,6FO4K7MrMoYkc5BlpX5LNV,"['house', 'pop dance', 'uk dance']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",49.0,345543,F#/Gb
54,55,52,9,2021-07-02--2021-07-09,Leave Before You Love Me (with Jonas Brothers),"9,428,494",Marshmello,31541310,4qu63nuBpdn0qHUHuObEj1,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",89.0,154983,G
55,56,56,13,2021-07-23--2021-07-30,Freaks,"9,319,465",Surf Curse,495226,7EkWXAI1wn8Ii883ecd9xr,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",2021-05-15,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07",89.0,147062,A
56,57,57,5,2021-07-23--2021-07-30,Meu Pedaço de Pecado,"9,206,366",João Gomes,409173,2kJRlOyrxsy7Ot3c5TZ8Q6,[],2021-06-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",83.0,157176,B
57,58,31,12,2021-06-04--2021-06-11,2/Catorce,"9,086,979","Rauw Alejandro, Mr. Naisgai",6080597,71R8HJxQk5qMiRstrlXN9t,"['puerto rican pop', 'trap latino']",2021-02-14,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14",87.0,212032,D#/Eb
58,59,34,21,2021-04-23--2021-04-30,Beautiful Mistakes (feat. Megan Thee Stallion),"9,048,966",Maroon 5,32262679,5zFglKYiknIxks8geR8rcL,"['pop', 'pop rock']",2021-06-11,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12",88.0,227395,A#/Bb
